ingredient_1_inci,ingredient_2_inci,interaction_type,layering_order,wait_time_minutes,time_of_day,skin_type_oily,skin_type_dry,skin_type_sensitive,skin_type_combination,skin_type_mature,skin_concern_impact,age_group,pregnancy_notes,conflict_reason,synergy_reason,application_notes
Acetyl Hexapeptide-3,Retinol,synergistic,Retinol first,0,PM,yes,yes,moderate,yes,yes,aging|texture|expression lines enhanced,adult|mature,no (retinol),None,Retinol for cell turnover; Argireline for muscle relaxation at expression lines.,"Both PM. Apply retinol first, then layer peptide serum on top."
Copper Tripeptide-1,Niacinamide,synergistic,either,0,AM,yes,yes,yes,yes,yes,aging|barrier|hyperpigmentation|redness enhanced,adult|mature,consult,None,Both barrier supportive and anti-aging.,Excellent morning anti-aging combination.
Copper Tripeptide-1,AHA (Glycolic Acid),avoid,do not layer same time,0,use separately,caution,caution,caution,caution,yes,aging - use separately,adult|mature,no (AHA),Acidic pH of AHA can destabilize copper peptide complex.,None when combined.,Copper peptides AM or separate PM slot away from AHA nights.
Copper Tripeptide-1,Benzoyl Peroxide,conflicting,do not layer,0,use separately,caution,no,no,caution,moderate,acne - use separately,adult|mature,no (both),"BP oxidizes copper peptide complex, degrading both.",None.,"Alternate: copper peptides one day, BP another. Or AM/PM split."
Ceramide NP,Hyaluronic Acid,synergistic,Hyaluronic Acid first,0,both,yes,yes,yes,yes,yes,barrier|dryness|sensitivity|aging enhanced,all,yes,None,HA draws moisture; ceramide seals it in. Optimal barrier restoration.,"Apply HA serum on damp skin, layer ceramide-rich moisturizer on top."
Ceramide NP,Cholesterol,synergistic,same formula preferred,0,both,yes,yes,yes,yes,yes,barrier|dryness|aging|sensitivity enhanced,all,yes,None,Ceramides:cholesterol:fatty acids 3:1:1 ratio ideal for barrier repair.,Best in same formula. Both essential barrier lipids.
Ceramide NP,Glycerin,synergistic,Glycerin first,0,both,yes,yes,yes,yes,yes,barrier|dryness|texture|sensitivity enhanced,all,yes,None,Glycerin humectant + ceramide occlusive/barrier provides full moisturization.,"Glycerin-based serum first, ceramide moisturizer over top."
Ceramide NP,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|sensitivity|redness|dryness enhanced,all,yes,None,Niacinamide stimulates ceramide production; exogenous ceramides add more.,Both barrier supporting. Layer in any order.
Ceramide NP,Allantoin,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|sensitivity|redness|dryness enhanced,all,yes,None,Allantoin heals; ceramide rebuilds barrier. Excellent for compromised skin.,"Best combination for eczema, dermatitis, post-procedure skin."
Centella Asiatica Extract,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|barrier|sensitivity|acne|hyperpigmentation enhanced,all,yes,None,Centella soothes; niacinamide brightens and strengthens barrier.,Excellent for acne-prone sensitive skin with PIH.
Centella Asiatica Extract,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|redness|sensitivity enhanced,all,yes,None,Both barrier supportive and anti-inflammatory.,Perfect for compromised/sensitive skin protocol.
Centella Asiatica Extract,Hyaluronic Acid,synergistic,Hyaluronic Acid first,0,both,yes,yes,yes,yes,yes,barrier|dryness|redness|sensitivity enhanced,all,yes,None,HA moisturizes; Cica soothes and heals. Very compatible.,Great sensitive skin hydration + soothing combination.
Aloe Barbadensis Leaf Juice,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|barrier|acne|sensitivity enhanced,all,yes,None,Aloe soothes; niacinamide multi-tasks. Gentle effective combo.,Great for post-sun or post-active calming routine.
Aloe Barbadensis Leaf Juice,Glycolic Acid,caution,Aloe first,15,PM,yes,moderate,caution,yes,yes,texture|redness - aloe helps reduce AHA irritation,adult|mature,no (GA),None serious. Aloe may dilute AHA effect slightly.,Aloe base in AHA toners is common to reduce irritation.,Pre-apply aloe or use AHA formula that contains aloe. Reduces sting.
Bisabolol,Retinol,synergistic,Retinol first,0,PM,yes,yes,yes,yes,yes,aging|redness|sensitivity enhanced,adult|mature,no (retinol),None,Bisabolol soothes retinol-induced irritation. Excellent buffering agent.,"Apply retinol, then bisabolol-containing moisturizer. Reduces side effects."
Green Tea Extract,Vitamin C (Ascorbic Acid),synergistic,Vitamin C first,0,AM,yes,yes,yes,yes,yes,aging|dullness|antioxidant protection enhanced,adult|mature,consult (AA),None,EGCG + Vitamin C powerful antioxidant stack.,"Apply Vitamin C, then layer green tea-containing toner or serum."
Oat Extract,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,sensitivity|barrier|dryness|redness enhanced,all,yes,None,Oat beta-glucan soothes; ceramides rebuild barrier. Ideal eczema combo.,Perfect for eczema/dermatitis sensitive skin.
Salicylic Acid,Centella Asiatica Extract,synergistic,Salicylic Acid first,0,PM,yes,caution,moderate,yes,moderate,acne|redness|pores enhanced,teen|adult|mature,consult (SA),None,BHA clears pores; Cica reduces post-acne inflammation.,Anti-acne + anti-inflammatory duo for acne-prone.
Salicylic Acid,Niacinamide,synergistic,Salicylic Acid first,0,both,yes,caution,moderate,yes,moderate,acne|pores|hyperpigmentation|redness enhanced,teen|adult|mature,consult (SA),None,BHA exfoliates pores; niacinamide reduces redness and PIH.,Classic acne + PIH combination. Apply BHA toner then niacinamide serum.
Salicylic Acid,Hyaluronic Acid,synergistic,Salicylic Acid first,15,both,yes,moderate,moderate,yes,moderate,acne|dryness|pores - BHA hydrated,teen|adult|mature,consult (SA),None,HA provides moisture buffer to offset BHA dryness.,"Apply BHA, wait 15 min, then HA serum. Prevents over-drying."
Glycolic Acid,Hyaluronic Acid,synergistic,Glycolic Acid first,15,PM,yes,moderate,moderate,yes,yes,texture|dullness|dryness|aging enhanced,adult|mature,consult,None,AHA exfoliates; HA replenishes moisture. Offset dryness.,"Apply AHA toner, wait 15 min, then HA serum. Standard layering."
Glycolic Acid,Niacinamide,neutral,Glycolic Acid first,20,PM,yes,moderate,caution,yes,yes,texture|hyperpigmentation|pores - sequential approach,adult|mature,consult,pH conflict if combined; niacinamide needs higher pH,Both brightening/texturizing but work better in sequence.,"Apply AHA, wait 20 min for pH to normalize, then apply niacinamide."
Lactic Acid,Ceramide NP,synergistic,Lactic Acid first,15,PM,yes,yes,moderate,yes,yes,texture|dryness|barrier|hyperpigmentation enhanced,adult|mature,consult,None,Lactic AHA exfoliates; ceramide repairs barrier. Balanced exfoliation.,"Apply lactic acid, wait 15 min, apply ceramide moisturizer. Great for dry skin."
Alpha Arbutin,Vitamin C (3-O-Ethyl Ascorbic Acid),synergistic,either,0,AM,yes,yes,yes,yes,yes,hyperpigmentation|dullness enhanced,all,consult (AA),None,Dual tyrosinase inhibition pathways. Stable Vit C + arbutin.,Excellent stable brightening duo. Layer any order.
Alpha Arbutin,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness|barrier enhanced,all,consult (arbutin),None,"Triple brightening: arbutin inhibits tyrosinase, niacinamide blocks melanosome transfer.",Great brightening stack for melasma and PIH.
Kojic Acid,Vitamin C,caution,Vitamin C first,0,AM,yes,moderate,caution,yes,yes,hyperpigmentation|dullness - watch stability,adult|mature,consult both,Kojic acid can be destabilized by oxidative environments. Color change possible.,Both brightening but stability concerns.,"Use separate products. Apply Vitamin C first, then kojic acid-containing moisturizer."
Tranexamic Acid,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness|redness enhanced,all,consult (TXA),None,Multi-pathway brightening. TXA + niacinamide one of best melasma combos.,Layer any order. Excellent for melasma and PIH.
Tranexamic Acid,AHA,synergistic,AHA first,15,PM,yes,moderate,moderate,yes,yes,hyperpigmentation|texture|dullness enhanced,adult|mature,consult (AHA),None,AHA exfoliates surface pigment; TXA inhibits new melanin.,AHA exfoliation + TXA inhibition: complete brightening approach.
Azelaic Acid,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,acne|hyperpigmentation|redness|pores enhanced,all,yes (AA),None,Both anti-inflammatory and brightening. Highly compatible.,Perfect combination for acne with PIH and rosacea.
Hyaluronic Acid,Glycerin,synergistic,Hyaluronic Acid first,0,both,yes,yes,yes,yes,yes,dryness|texture|barrier enhanced,all,yes,None,Different molecular weights/humectants work synergistically.,"Apply HA serum (light, watery), then glycerin-containing toner or moisturizer."
Hyaluronic Acid,Squalane,synergistic,Hyaluronic Acid first,0,both,yes,yes,yes,yes,yes,dryness|aging|barrier|texture enhanced,all,yes,None,HA attracts water; squalane seals and adds emollience.,HA serum → squalane face oil → moisturizer. Complete hydration.
Hyaluronic Acid,Petrolatum,synergistic,Hyaluronic Acid first,0,PM,moderate,yes,yes,moderate,yes,dryness|barrier|aging enhanced (slugging),all,yes,None,HA draws moisture; petrolatum occlusion seals everything in (slugging).,HA serum → treatments → petrolatum occlusion layer on top. Slugging method.
Glycerin,Ceramide NP,synergistic,Glycerin first,0,both,yes,yes,yes,yes,yes,dryness|barrier|sensitivity enhanced,all,yes,None,Humectant (draws water) + barrier lipid (seals). Complete moisturization.,"Glycerin-based essence/toner first, ceramide moisturizer on top."
Panthenol,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|dryness|sensitivity|redness enhanced,all,yes,None,Panthenol heals and moisturizes; ceramide rebuilds barrier structure.,Excellent for post-inflammatory or compromised skin.
Sodium PCA,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,dryness|texture|aging enhanced,all,yes,None,Two natural moisturizing factors. Complementary humectants.,NMF stack for deep hydration. Layer in any order.
Benzoyl Peroxide,Salicylic Acid,caution,use separately,0,use separately,moderate,no,no,moderate,no,acne - use alternating AM/PM,teen|adult,no (both),Double irritation. Both keratolytic. Significant overexfoliation/irritation risk.,Both effective for acne via different mechanisms. Alternate works better.,"BP AM, BHA PM. Or alternate days. Do NOT layer same time."
Benzoyl Peroxide,Niacinamide,neutral,Niacinamide first,0,AM,yes,caution,caution,yes,no,acne|redness - niacinamide reduces BP irritation,teen|adult,no (BP),None serious. Some debate on BP oxidizing niacinamide.,Niacinamide may buffer BP side effects.,"Apply niacinamide first, then BP (spot treatment). Can reduce irritation."
Salicylic Acid,Zinc PCA,synergistic,Salicylic Acid first,0,AM/PM,yes,caution,moderate,yes,moderate,acne|pores|sebum enhanced,teen|adult|mature,consult (SA),None,BHA exfoliates; zinc regulates sebum. Anti-acne synergy.,BHA toner then zinc-containing moisturizer. Oil control focused.
Tea Tree Oil,Niacinamide,synergistic,Tea Tree first (diluted),0,PM,yes,caution,caution,yes,moderate,acne|redness|pores enhanced,teen|adult|mature,consult (TTO),None,Tea tree antimicrobial; niacinamide anti-inflammatory. Complementary.,"Diluted tea tree spot treat, then niacinamide serum around area."
Azelaic Acid,Bakuchiol,synergistic,either,0,both,yes,yes,yes,yes,yes,acne|aging|hyperpigmentation|redness enhanced,all,yes (both),None,Both pregnancy-safe actives with anti-aging + brightening benefits.,Excellent pregnancy-safe anti-aging and brightening duo.
Azelaic Acid,Glycolic Acid,neutral,Glycolic Acid first,20,PM,yes,moderate,moderate,yes,yes,texture|acne|hyperpigmentation - sequential,adult|mature,consult (GA),pH differences. Give GA time before applying AA.,Both exfoliant/brightening but different pH needs.,"Apply GA, wait 20 min, then AA. Good for dull, acne-prone skin."
Gluconolactone,Ceramide NP,synergistic,Gluconolactone first,0,both,yes,yes,yes,yes,yes,texture|barrier|sensitivity|dryness enhanced,all,yes,None,Gentlest exfoliant + barrier repair. Best sensitive skin exfoliation approach.,"Gentle PHA toner, then ceramide moisturizer. Safe for sensitive/eczema."
Gluconolactone,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,texture|barrier|sensitivity|hyperpigmentation enhanced,all,yes,None,Gentle exfoliation + barrier + brightening. Very compatible.,"Excellent gentle, pregnancy-friendly brightening combination."
Retinol,Sunscreen (Zinc Oxide),synergistic,Retinol PM; Sunscreen AM,0,separate AM/PM,yes,yes,moderate,yes,yes,aging|UV protection (separate routines),adult|mature,no (retinol),None between routines,Retinol at night for anti-aging; sunscreen AM to protect from photosensitivity.,Critical pairing. Retinol increases photosensitivity; always follow with AM SPF.
AHA (Glycolic Acid),Sunscreen (Zinc Oxide),complementary routines,AHA PM; SPF AM,0,separate AM/PM,yes,moderate,moderate,yes,yes,texture|UV protection (separate routines),adult|mature,no (GA),None between routines,AHA at night; next morning SPF mandatory as AHA increases photosensitivity.,Non-negotiable pairing. AHA without SPF next morning = counterproductive.
Vitamin C (Ascorbic Acid),Sunscreen (Zinc Oxide),synergistic,Vitamin C first then SPF,0,AM,yes,yes,yes,yes,yes,aging|UV protection|hyperpigmentation enhanced,adult|mature,consult (AA),None when applied sequentially,Vitamin C boosts SPF protection by antioxidant mechanism.,Antioxidant serum → moisturizer → SPF. Classic AM routine.
